image_url, title, brand, price
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-153-01.jpg,ABS Gladiator Gaming PC - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,ABS,$1,799.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-029-23.jpg,ABS Legend Gaming PC - Intel i9 10900KF - GeForce RTX 3090 - G.Skill TridentZ RGB 32GB  DDR4 3200 MHz - 1TB M.2 NVMe SSD,ABS,$3,699.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-160-14.jpg,ABS ROG Gundam Limited Edition Gaming PC - Intel i9 11900K - STRIX Gundam GeForce RTX 3080 - G.Skill 32GB 3200MHz - 2TB Intel M.2 - STRIX Gundam 360MM AIO - Windows 10 Pro 64-bit,ABS,$4,799.99
https://c1.neweggimages.com/ProductImageCompressAll300/AZUES210712ti0rh.jpg,Yeston Radeon RX560 4GB GDDR5 LP PCI Express 3.0 DirectX12 video gaming graphics card external graphics card for desktop,yeston,$224.00
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-155-01.jpg,ABS Gladiator Gaming PC - Ryzen 7 5800X - GeForce RTX 3080 - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB Gigabyte AORUS Gen4 7000 SSD - 240MM RGB AIO,ABS,$2,699.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-162-06.jpg,ABS Legend Gaming PC - Intel i9 11900K - ASUS ROG STRIX GeForce RTX 3090 O24GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 2TB Intel 670P M.2 NVMe - Corsair H115i RGB Platinum 280MM - Windows 10 Pro,ABS,$4,699.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-048-17.jpg,ABS Gladiator Gaming PC - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB Intel M.2 NVMe SSD,ABS,$1,749.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-038-S01.jpg,ABS Gladiator Gaming PC - Intel i7 10700KF - GeForce RTX 3070 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,ABS,$1,899.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-101-07.jpg,ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1650 - 16GB DDR4 3000MHz - 512GB SSD,ABS,$949.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-143-01.jpg,ABS Legend Gaming PC - Intel i9 11900K - ASUS ROG STRIX GeForce RTX 3080 Ti - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB AORUS GEN4 M.2 NVMe SSD - EVGA CLC 280MM RGB AIO - Windows 10 Pro 64-bit,ABS,$4,099.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-170-01.jpg,ABS Legend Gaming PC - AMD R9 5950X - EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 2TB M.2 NVMe SSD - 240MM RGB AIO - Windows 10 Pro 64-bit,ABS,$3,899.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-130-21.jpg,ABS Master Gaming PC - Intel i7 10700F - GeForce RTX 3060 - 16GB DDR4 3000MHz - 1TB Intel M.2 NVMe SSD - EVGA XR1 Capture Device,ABS,$1,499.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-148-07.jpg,ABS Gladiator Gaming PC - Ryzen 5 5600X - Radeon RX 6700 XT - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD - RGB CPU Cooler,ABS,$1,899.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-166-07.jpg,ABS Legend Gaming PC - Intel i7 10700K - EVGA RTX 3080 Ti FTW3 Ultra Gaming - CORSAIR Vengeance RGB PRO 32GB DDR4 3600MHz - 1TB Intel 670P M.2 NVME - CORSAIR H115i RGB Platinum 280MM - Win 10 Pro,ABS,$3,199.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-167-10.jpg,ABS Gladiator Gaming PC - Intel i7 10700F - EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming - 16GB DDR4 3000MHz - 1TB Intel 670P M.2 NVMe SSD - EVGA CLC 120MM AIO,ABS,$2,199.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-163-10.jpg,ABS Legend Gaming PC - Intel i9-11900K - GeForce RTX 3090 - G.Skill TridentZ RGB 32GB DDR4 3200 MHz - 1TB M.2 Gigabyte AORUS Gen4 7000 SSD - Windows 10 Pro 64-bit,ABS,$4,399.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-175-07.jpg,ABS Legend Gaming PC - AMD R7 5800X - GeForce RTX 3080 Ti 12GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel 660PM.2 NVMe SSD - RGB CPU Cooler,ABS,$2,999.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-196-01.jpg,ABS Gladiator Gaming PC - Intel i7 11700K - EVGA GeForce RTX 3080 FTW3 Ultra Gaming - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel 670P M.2 NVMe SSD - 240MM RGB AIO,ABS,$2,699.99
https://c1.neweggimages.com/ProductImageCompressAll300/14-932-004-Z01.jpg,GIGABYTE GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 Video Card GV-N1030OC-2GI,GIGABYTE,$106.73
